timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 11:59:22,EMA,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-11,65,24525.6,154.1,,,,,
2026-08-04 12:00:46,Delta20Hedged,PAPER,EXIT,PE,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-04,65,,12.8,43.4,-1871.9999999999998,,TARGET_3X,
2026-08-04 12:00:46,Delta20Hedged,PAPER,EXIT,PE,NIFTY-Aug2026-24300-PE,PE,24300.0,2026-08-04,65,,2.0,3.8,-1871.9999999999998,,TARGET_3X,
2026-08-04 12:04:07,Bollinger Bands,PAPER,ENTRY,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,24527.7,141.0,,,,,
2026-08-04 12:09:08,CPRAlgo3,PAPER,EXIT,SHORT,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-11,65,,144.25,168.7,1589.2499999999993,,ALGO3_TARGET,
2026-08-04 12:09:26,CPRAlgo3,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-11,65,24507.55,141.95,,,,,
2026-08-04 12:17:16,HeikinAshi,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,141.25,186.75,2957.5,,REVERSAL_TO_LONG,
2026-08-04 12:17:16,HeikinAshi,PAPER,ENTRY,LONG,NIFTY-Aug2026-24500-CE,CE,24500.0,2026-08-11,65,24514.75,164.1,,,,,
2026-08-04 12:54:06,Parabolic SAR,PAPER,ENTRY,LONG,NIFTY-Aug2026-24500-CE,CE,24500.0,2026-08-11,65,24502.0,156.5,,,,,
2026-08-04 13:04:04,Parabolic SAR,PAPER,EXIT,LONG,NIFTY-Aug2026-24500-CE,CE,24500.0,2026-08-11,65,,156.5,155.0,-97.5,,SAR_FLIP,
2026-08-04 13:04:10,Parabolic SAR,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-11,65,24493.75,151.1,,,,,
2026-08-04 13:29:01,EMA,PAPER,EXIT,SHORT,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-11,65,,154.1,183.75,1927.2500000000005,,EMA11_EXIT,
2026-08-04 13:44:10,EMA,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24460.75,139.95,,,,,
2026-08-04 14:14:05,EMA,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,139.95,137.3,-172.24999999999852,,EMA11_EXIT,
2026-08-04 14:14:07,Parabolic SAR,PAPER,EXIT,SHORT,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-11,65,,151.1,160.5,611.0000000000003,,SAR_FLIP,
2026-08-04 14:14:08,CPR,PAPER,ENTRY,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,24457.35,171.5,,,,,
2026-08-04 14:14:12,Parabolic SAR,PAPER,ENTRY,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,24458.2,171.4,,,,,
2026-08-04 14:16:49,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,123.8,213.5,5830.5,,RR_GREEN_CANDLE,
2026-08-04 14:16:56,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24464.4,133.75,,,,,
2026-08-04 14:17:22,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,133.75,135.0,81.25,,STOP,
2026-08-04 14:19:03,Mean Reversion Zscore,PAPER,EXIT,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,,159.2,124.0,-2287.999999999999,,ZSCORE_REVERT,
2026-08-04 14:20:04,RSI Reversal,PAPER,EXIT,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,,145.55,125.6,-1296.7500000000011,,RSI_MEAN_REVERSION,
2026-08-04 14:20:07,SupertrendBullish,PAPER,ENTRY,LONG,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-04,65,,167.35,,,,,
2026-08-04 14:20:07,SupertrendBullish,PAPER,ENTRY,LONG,NIFTY-Aug2026-24400-PE,PE,24400.0,2026-08-04,65,,12.4,,,,,
2026-08-04 14:29:11,HeikinAshi,PAPER,EXIT,LONG,NIFTY-Aug2026-24500-CE,CE,24500.0,2026-08-11,65,,164.1,144.4,-1280.4999999999993,,REVERSAL_TO_SHORT,
2026-08-04 14:29:11,HeikinAshi,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24462.1,134.75,,,,,
2026-08-04 14:29:27,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24462.45,133.8,,,,,
2026-08-04 14:29:43,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,133.8,133.05,-48.75,,STOP,
2026-08-04 14:33:24,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24463.35,133.4,,,,,
2026-08-04 14:33:34,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,133.4,133.2,-13.000000000001108,,STOP,
2026-08-04 14:33:40,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24463.1,132.9,,,,,
2026-08-04 14:33:50,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,132.9,131.7,-78.00000000000111,,STOP,
2026-08-04 14:34:00,Renko,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,24458.9,133.5,,,,,
2026-08-04 14:46:07,HeikinAshi,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,134.75,131.05,-240.49999999999926,,REVERSAL_TO_LONG,
2026-08-04 14:46:07,HeikinAshi,PAPER,ENTRY,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,24470.75,176.0,,,,,
2026-08-04 14:54:07,SMA Crossover,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,130.25,204.35,4816.5,,OPPOSITE_SIGNAL,
